plot_id,date,rainfall_mm
P001,2023-01-01,0.0
P001,2023-01-02,0.0
P001,2023-01-03,0.0
P001,2023-01-04,0.0
P001,2023-01-05,0.0
P001,2023-01-06,0.0
P001,2023-01-07,0.0
P001,2023-01-08,0.0
P001,2023-01-09,0.0
P001,2023-01-10,0.0
P001,2023-01-11,0.0
P001,2023-01-12,0.0
P001,2023-01-13,0.0
P001,2023-01-14,0.0
P001,2023-01-15,0.0
P001,2023-01-16,0.0
P001,2023-01-17,0.0
P001,2023-01-18,0.0
P001,2023-01-19,5.1494
P001,2023-01-20,0.0
P001,2023-01-21,0.0
P001,2023-01-22,0.0
P001,2023-01-23,0.0
P001,2023-01-24,0.0
P001,2023-01-25,0.0
P001,2023-01-26,0.0
P001,2023-01-27,0.0
P001,2023-01-28,5.3775
P001,2023-01-29,0.0
P001,2023-01-30,0.0
P001,2023-01-31,0.0
P001,2023-02-01,0.0
P001,2023-02-02,0.0
P001,2023-02-03,0.0
P001,2023-02-04,0.0
P001,2023-02-05,0.0
P001,2023-02-06,0.0
P001,2023-02-07,3.3398
P001,2023-02-08,0.0
P001,2023-02-09,0.0
P001,2023-02-10,0.0
P001,2023-02-11,0.0
P001,2023-02-12,0.0
P001,2023-02-13,0.0
P001,2023-02-14,0.0
P001,2023-02-15,0.0
P001,2023-02-16,0.0
P001,2023-02-17,0.0
P001,2023-02-18,0.0
P001,2023-02-19,0.0
P001,2023-02-20,0.0
P001,2023-02-21,0.0
P001,2023-02-22,0.0
P001,2023-02-23,0.0
P001,2023-02-24,0.0
P001,2023-02-25,3.649
P001,2023-02-26,0.0
P001,2023-02-27,0.0
P001,2023-02-28,0.0
P001,2023-03-01,0.0
P001,2023-03-02,0.0
P001,2023-03-03,0.0
P001,2023-03-04,0.0
P001,2023-03-05,0.0
P001,2023-03-06,0.0
P001,2023-03-07,0.0
P001,2023-03-08,0.0
P001,2023-03-09,0.0
P001,2023-03-10,0.0
P001,2023-03-11,0.0
P001,2023-03-12,0.0
P001,2023-03-13,8.2107
P001,2023-03-14,16.4215
P001,2023-03-15,8.2107
P001,2023-03-16,24.0288
P001,2023-03-17,0.0
P001,2023-03-18,0.0
P001,2023-03-19,0.0
P001,2023-03-20,0.0
P001,2023-03-21,14.9078
P001,2023-03-22,11.1809
P001,2023-03-23,11.1809
P001,2023-03-24,7.4539
P001,2023-03-25,7.4539
P001,2023-03-26,10.1281
P001,2023-03-27,10.1281
P001,2023-03-28,0.0
P001,2023-03-29,0.0
P001,2023-03-30,10.1281
P001,2023-03-31,0.0
P001,2023-04-01,0.0
P001,2023-04-02,0.0
P001,2023-04-03,11.3403
P001,2023-04-04,5.6702
P001,2023-04-05,0.0
P001,2023-04-06,0.0
P001,2023-04-07,0.0
P001,2023-04-08,0.0
P001,2023-04-09,0.0
P001,2023-04-10,0.0
P001,2023-04-11,0.0
P001,2023-04-12,0.0
P001,2023-04-13,0.0
P001,2023-04-14,0.0
P001,2023-04-15,0.0
P001,2023-04-16,0.0
P001,2023-04-17,8.1384
P001,2023-04-18,0.0
P001,2023-04-19,0.0
P001,2023-04-20,8.1384
P001,2023-04-21,15.3112
P001,2023-04-22,15.3112
P001,2023-04-23,7.6556
P001,2023-04-24,0.0
P001,2023-04-25,22.9669
P001,2023-04-26,48.4425
P001,2023-04-27,0.0
